N,Minimal Required,First Working Set
2,1,"(1, 0, 2)"
3,1,"(1, 0, 3)"
4,2,"(1, 2, 0, 4)"
5,2,"(1, 2, 0, 5)"
6,2,"(1, 4, 0, 6)"
7,3,"(1, 2, 3, 0, 7)"
8,3,"(1, 2, 5, 0, 8)"
9,3,"(1, 2, 6, 0, 9)"
10,4,"(1, 2, 3, 6, 0, 10)"
11,4,"(1, 2, 3, 7, 0, 11)"
12,4,"(1, 2, 3, 8, 0, 12)"
13,4,"(1, 2, 6, 10, 0, 13)"
14,5,"(1, 2, 3, 4, 9, 0, 14)"
15,5,"(1, 2, 3, 4, 10, 0, 15)"
16,5,"(1, 2, 3, 8, 12, 0, 16)"
17,5,"(1, 2, 3, 8, 13, 0, 17)"
18,6,"(1, 2, 3, 4, 5, 12, 0, 18)"
19,6,"(1, 2, 3, 4, 9, 14, 0, 19)"
20,6,"(1, 2, 3, 4, 10, 15, 0, 20)"
21,6,"(1, 2, 3, 4, 10, 16, 0, 21)"
22,6,"(1, 2, 3, 8, 13, 18, 0, 22)"
23,6,"(1, 2, 11, 15, 18, 21, 0, 23)"
24,7,"(1, 2, 3, 4, 5, 12, 18, 0, 24)"
N,Minimal Required,First Working Set
25,7,"(1, 2, 3, 4, 5, 12, 19, 0, 25)"
26,7,"(1, 2, 3, 4, 10, 15, 21, 0, 26)"
27,7,"(1, 2, 3, 4, 10, 16, 22, 0, 27)"
28,7,"(1, 2, 13, 18, 21, 24, 27, 0, 28)"
29,7,"(1, 2, 14, 18, 21, 24, 27, 0, 29)"
30,8,"(1, 2, 3, 4, 5, 11, 18, 24, 0, 30)"
31,8,"(1, 2, 3, 4, 5, 12, 18, 25, 0, 31)"
32,8,"(1, 2, 3, 4, 5, 12, 19, 26, 0, 32)"
33,8,"(1, 2, 3, 4, 10, 16, 22, 28, 0, 33)"
34,8,"(1, 2, 3, 15, 20, 24, 28, 31, 0, 34)"
35,8,"(1, 2, 17, 21, 24, 27, 30, 33, 0, 35)"
36,8,"(1, 3, 6, 13, 20, 27, 31, 35, 0, 36)"
N,Minimal Required,First Working Set
37,9,"(1, 2, 3, 4, 5, 6, 14, 22, 30, 0, 37)"
38,9,"(1, 2, 3, 4, 5, 12, 19, 25, 32, 0, 38)"
39,9,"(1, 2, 3, 4, 5, 12, 19, 26, 33, 0, 39)"
